problem_id,description,name,tag,difficulty,try_count,accepted_count
10,"
Score: 300 points


Problem Statement
Takahashi has decided to hold fastest-finger-fast quiz games. Kizahashi, who is in charge of making the scoreboard, is struggling to write the program that manages the players' scores in a game, which proceeds as follows.
A game is played by N players, numbered 1 to N. At the beginning of a game, each player has K points.
When a player correctly answers a question, each of the other N-1 players receives minus one (-1) point. There is no other factor that affects the players' scores.
At the end of a game, the players with 0 points or lower are eliminated, and the remaining players survive.
In the last game, the players gave a total of Q correct answers, the i-th of which was given by Player A_i.
For Kizahashi, write a program that determines whether each of the N players survived this game.




Constraints

All values in input are integers.
2 \leq N \leq 10^5
1 \leq K \leq 10^9
1 \leq Q \leq 10^5
1 \leq A_i \leq N\ (1 \leq i \leq Q)







Input
Input is given from Standard Input in the following format:
N K Q
A_1
A_2
.
.
.
A_Q





Output
Print N lines. The i-th line should contain Yes if Player i survived the game, and No otherwise.






Sample Input 16 3 4
3
1
3
2





Sample Output 1No
No
Yes
No
No
No

In the beginning, the players' scores are (3, 3, 3, 3, 3, 3).

Player 3 correctly answers a question. The players' scores are now (2, 2, 3, 2, 2, 2).
Player 1 correctly answers a question. The players' scores are now (2, 1, 2, 1, 1, 1).
Player 3 correctly answers a question. The players' scores are now (1, 0, 2, 0, 0, 0).
Player 2 correctly answers a question. The players' scores are now (0, 0, 1, -1, -1, -1).

Players 1, 2, 4, 5 and 6, who have 0 points or lower, are eliminated, and Player 3 survives this game.





Sample Input 26 5 4
3
1
3
2





Sample Output 2Yes
Yes
Yes
Yes
Yes
Yes






Sample Input 310 13 15
3
1
4
1
5
9
2
6
5
3
5
8
9
7
9





Sample Output 3No
No
No
No
Yes
No
No
No
Yes
No


",Attack Survival,"Counting, Array, Bruteforcing, Implementation",0.59,412,232
11,"
Score : 300 points


Problem Statement
Takahashi is a teacher responsible for a class of N students.
The students are given distinct student numbers from 1 to N.
Today, all the students entered the classroom at different times.
According to Takahashi's record, there were A_i students in the classroom when student number i entered the classroom (including student number i).
From these records, reconstruct the order in which the students entered the classroom.




Constraints

 1 \le N \le 10^5 
 1 \le A_i \le N 
 A_i \neq A_j  (i \neq j)
All values in input are integers.







Input
Input is given from Standard Input in the following format:
N
A_1 A_2 \ldots A_N





Output
Print the student numbers of the students in the order the students entered the classroom.






Sample Input 13
2 3 1





Sample Output 13 1 2

First, student number 3 entered the classroom.
Then, student number 1 entered the classroom.
Finally, student number 2 entered the classroom.





Sample Input 25
1 2 3 4 5





Sample Output 21 2 3 4 5






Sample Input 38
8 2 7 3 4 5 6 1





Sample Output 38 2 4 5 6 7 3 1


",Go to School,"Array, Sorting, Set / Map, Hashing, Mathematics",0.673,471,274
12,"
Score : 300 points


Problem StatementThere are N slimes lining up from left to right. The colors of these slimes will be given as a string S of length N consisting of lowercase English letters. The i-th slime from the left has the color that corresponds to the i-th character of S.
Adjacent slimes with the same color will fuse into one larger slime without changing the color. If there were a slime adjacent to this group of slimes before fusion, that slime is now adjacent to the new larger slime.
Ultimately, how many slimes will be there?




Constraints
1 \leq N \leq 10^5
|S| = N
S consists of lowercase English letters.







InputInput is given from Standard Input in the following format:
N
S





OutputPrint the final number of slimes.






Sample Input 110
aabbbbaaca





Sample Output 15

Ultimately, these slimes will fuse into abaca.





Sample Input 25
aaaaa





Sample Output 21

All the slimes will fuse into one.





Sample Input 320
xxzaffeeeeddfkkkkllq





Sample Output 310


",Slimes,"Bruteforcing, String, Counting",0.873,321,257
13,"
Score : 300 points


Problem StatementTakahashi is standing on a multiplication table with infinitely many rows and columns.
The square (i,j) contains the integer i \times j. Initially, Takahashi is standing at (1,1).
In one move, he can move from (i,j) to either (i+1,j) or (i,j+1).
Given an integer N, find the minimum number of moves needed to reach a square that contains N.




Constraints
2 \leq N \leq 10^{12}
N is an integer.







InputInput is given from Standard Input in the following format:
N





OutputPrint the minimum number of moves needed to reach a square that contains the integer N.






Sample Input 110





Sample Output 15

(2,5) can be reached in five moves. We cannot reach a square that contains 10 in less than five moves.





Sample Input 250





Sample Output 213

(5, 10) can be reached in 13 moves.





Sample Input 310000000019





Sample Output 310000000018

Both input and output may be enormous.

",Walk on Multiplication Table,"Bruteforcing, Prime Factorization, Mathematics, Arithmetic",0.473,487,192
14,"
Score : 300 points


Problem StatementThere are N towns in a coordinate plane. Town i is located at coordinates (x_i, y_i). The distance between Town i and Town j is \sqrt{\left(x_i-x_j\right)^2+\left(y_i-y_j\right)^2}.
There are N! possible paths to visit all of these towns once. Let the length of a path be the distance covered when we start at the first town in the path, visit the second, third, \dots, towns, and arrive at the last town (assume that we travel in a straight line from a town to another). Compute the average length of these N! paths.




Constraints
2 \leq N \leq 8
-1000 \leq x_i \leq 1000
-1000 \leq y_i \leq 1000
\left(x_i, y_i\right) \neq \left(x_j, y_j\right) (if i \neq j)
(Added 21:12 JST) All values in input are integers.







InputInput is given from Standard Input in the following format:
N
x_1 y_1
:
x_N y_N





OutputPrint the average length of the paths.
Your output will be judges as correct when the absolute difference from the judge's output is at most 10^{-6}.






Sample Input 13
0 0
1 0
0 1





Sample Output 12.2761423749

There are six paths to visit the towns: 1 → 2 → 3, 1 → 3 → 2, 2 → 1 → 3, 2 → 3 → 1, 3 → 1 → 2, and 3 → 2 → 1.
The length of the path 1 → 2 → 3 is \sqrt{\left(0-1\right)^2+\left(0-0\right)^2} + \sqrt{\left(1-0\right)^2+\left(0-1\right)^2} = 1+\sqrt{2}.
By calculating the lengths of the other paths in this way, we see that the average length of all routes is:
\frac{\left(1+\sqrt{2}\right)+\left(1+\sqrt{2}\right)+\left(2\right)+\left(1+\sqrt{2}\right)+\left(2\right)+\left(1+\sqrt{2}\right)}{6} = 2.276142...





Sample Input 22
-879 981
-866 890





Sample Output 291.9238815543

There are two paths to visit the towns: 1 → 2 and 2 → 1. These paths have the same length.





Sample Input 38
-406 10
512 859
494 362
-955 -475
128 553
-986 -885
763 77
449 310





Sample Output 37641.9817824387


",Average Length,"Backtracking, Mathematics, Bruteforcing, Arithmetic",0.784,214,168
15,"
Score : 300 points


Problem StatementFennec is fighting with N monsters.
The health of the i-th monster is H_i.
Fennec can do the following two actions:

Attack: Fennec chooses one monster. That monster's health will decrease by 1.
Special Move: Fennec chooses one monster. That monster's health will become 0.

There is no way other than Attack and Special Move to decrease the monsters' health.
Fennec wins when all the monsters' healths become 0 or below.
Find the minimum number of times Fennec needs to do Attack (not counting Special Move) before winning when she can use Special Move at most K times.




Constraints
1 \leq N \leq 2 \times 10^5
0 \leq K \leq 2 \times 10^5
1 \leq H_i \leq 10^9
All values in input are integers.







InputInput is given from Standard Input in the following format:
N K
H_1 ... H_N





OutputPrint the minimum number of times Fennec needs to do Attack (not counting Special Move) before winning.






Sample Input 13 1
4 1 5





Sample Output 15

By using Special Move on the third monster, and doing Attack four times on the first monster and once on the second monster, Fennec can win with five Attacks.





Sample Input 28 9
7 9 3 2 3 8 4 6





Sample Output 20

She can use Special Move on all the monsters.





Sample Input 33 0
1000000000 1000000000 1000000000





Sample Output 33000000000

Watch out for overflow.

",Fennec vs Monster,"Sorting, Greedy Algorithm, Arithmetic, Array",0.695,494,272
16,"
Score: 300 points


Problem Statement
Find the minimum prime number greater than or equal to X.




Notes
A prime number is an integer greater than 1 that cannot be evenly divided by any positive integer except 1 and itself.
For example, 2, 3, and 5 are prime numbers, while 4 and 6 are not.




Constraints

 2 \le X \le 10^5 
All values in input are integers.







Input
Input is given from Standard Input in the following format:
X





Output
Print the minimum prime number greater than or equal to X.






Sample Input 120





Sample Output 123

The minimum prime number greater than or equal to 20 is 23.





Sample Input 22





Sample Output 22

X itself can be a prime number.





Sample Input 399992





Sample Output 3100003


",Next Prime,"Bruteforcing, Number Theory, Mathematics",0.729,276,186
17,"
Score : 300 points


Problem StatementTakahashi participated in a contest on AtCoder.
The contest had N problems.
Takahashi made M submissions during the contest.
The i-th submission was made for the p_i-th problem and received the verdict S_i (AC or WA).
The number of Takahashi's correct answers is the number of problems on which he received an AC once or more.
The number of Takahashi's penalties is the sum of the following count for the problems on which he received an AC once or more: the number of WAs received before receiving an AC for the first time on that problem.
Find the numbers of Takahashi's correct answers and penalties.




Constraints
N, M, and p_i are integers.
1 \leq N \leq 10^5
0 \leq M \leq 10^5
1 \leq p_i \leq N
S_i is AC or WA.







InputInput is given from Standard Input in the following format:
N M
p_1 S_1
:
p_M S_M





OutputPrint the number of Takahashi's correct answers and the number of Takahashi's penalties.






Sample Input 12 5
1 WA
1 AC
2 WA
2 AC
2 WA





Sample Output 12 2

In his second submission, he received an AC on the first problem for the first time. Before this, he received one WA on this problem.
In his fourth submission, he received an AC on the second problem for the first time. Before this, he received one WA on this problem.
Thus, he has two correct answers and two penalties.





Sample Input 2100000 3
7777 AC
7777 AC
7777 AC





Sample Output 21 0

Note that it is pointless to get an AC more than once on the same problem.





Sample Input 36 0





Sample Output 30 0


",Welcome to AtCoder,"Array, Bruteforcing, Boolean Operations On Geometric Objects, Counting",0.208,599,176
18,"
Score : 300 points


Problem StatementFind the price of a product before tax such that, when the consumption tax rate is 8 percent and 10 percent, the amount of consumption tax levied on it is A yen and B yen, respectively. (Yen is the currency of Japan.)
Here, the price before tax must be a positive integer, and the amount of consumption tax is rounded down to the nearest integer.
If multiple prices satisfy the condition, print the lowest such price; if no price satisfies the condition, print -1.




Constraints
1 \leq A \leq B \leq 100
A and B are integers.







InputInput is given from Standard Input in the following format:
A B





OutputIf there is a price that satisfies the condition, print an integer representing the lowest such price; otherwise, print -1.






Sample Input 12 2





Sample Output 125

If the price of a product before tax is 25 yen, the amount of consumption tax levied on it is:

When the consumption tax rate is 8 percent: \lfloor 25 \times 0.08 \rfloor = \lfloor 2 \rfloor = 2 yen.
When the consumption tax rate is 10 percent: \lfloor 25 \times 0.1 \rfloor = \lfloor 2.5 \rfloor = 2 yen.

Thus, the price of 25 yen satisfies the condition. There are other possible prices, such as 26 yen, but print the minimum such price, 25.





Sample Input 28 10





Sample Output 2100

If the price of a product before tax is 100 yen, the amount of consumption tax levied on it is:

When the consumption tax rate is 8 percent: \lfloor 100 \times 0.08 \rfloor = 8 yen.
When the consumption tax rate is 10 percent: \lfloor 100 \times 0.1 \rfloor = 10 yen.






Sample Input 319 99





Sample Output 3-1

There is no price before tax satisfying this condition, so print -1.

",Tax Increase,"Bruteforcing, Mathematics, Heuristics",0.496,553,232
19,"
Score : 300 points


Problem StatementIf there is an integer not less than 0 satisfying the following conditions, print the smallest such integer; otherwise, print -1.

The integer has exactly N digits in base ten. (We assume 0 to be a 1-digit integer. For other integers, leading zeros are not allowed.)
The s_i-th digit from the left is c_i. \left(i = 1, 2, \cdots, M\right)





Constraints
All values in input are integers.
1 \leq N \leq 3
0 \leq M \leq 5
1 \leq s_i \leq N
0 \leq c_i \leq 9







InputInput is given from Standard Input in the following format:
N M
s_1 c_1
\vdots
s_M c_M





OutputPrint the answer.






Sample Input 13 3
1 7
3 2
1 7





Sample Output 1702

702 satisfies the conditions - its 1-st and 3-rd digits are 7 and 2, respectively - while no non-negative integer less than 702 satisfies them.





Sample Input 23 2
2 1
2 3





Sample Output 2-1






Sample Input 33 1
1 0





Sample Output 3-1


",Guess The Number,"Backtracking, Graph Theory, Greedy Algorithm, Array, Boolean Operations On Geometric Objects",0.121,904,153
20,"
Score: 200 points


Problem Statement
You are an immigration officer in the Kingdom of AtCoder. The document carried by an immigrant has some number of integers written on it, and you need to check whether they meet certain criteria.
According to the regulation, the immigrant should be allowed entry to the kingdom if and only if the following condition is satisfied:

All even numbers written on the document are divisible by 3 or 5.

If the immigrant should be allowed entry according to the regulation, output APPROVED; otherwise, print DENIED.




Notes

The condition in the statement can be rephrased as ""If x is an even number written on the document, x is divisible by 3 or 5"".
Here ""if"" and ""or"" are logical terms.





Constraints

All values in input are integers.
1 \leq N \leq 100
1 \leq A_i \leq 1000







Input
Input is given from Standard Input in the following format:
N
A_1 A_2 \dots A_N





Output
If the immigrant should be allowed entry according to the regulation, print APPROVED; otherwise, print DENIED.






Sample Input 15
6 7 9 10 31





Sample Output 1APPROVED

The even numbers written on the document are 6 and 10.
All of them are divisible by 3 or 5, so the immigrant should be allowed entry.





Sample Input 23
28 27 24





Sample Output 2DENIED

28 violates the condition, so the immigrant should not be allowed entry.

",Papers  Please,"Bruteforcing, Implementation, Boolean Operations On Geometric Objects",0.758,425,257
21,"
Score : 200 points


Problem StatementRaccoon is fighting with a monster.
The health of the monster is H.
Raccoon can use N kinds of special moves. Using the i-th move decreases the monster's health by A_i.
There is no other way to decrease the monster's health.
Raccoon wins when the monster's health becomes 0 or below.
If Raccoon can win without using the same move twice or more, print Yes; otherwise, print No.




Constraints
1 \leq H \leq 10^9
1 \leq N \leq 10^5
1 \leq A_i \leq 10^4
All values in input are integers.







InputInput is given from Standard Input in the following format:
H N
A_1 A_2 ... A_N





OutputIf Raccoon can win without using the same move twice or more, print Yes; otherwise, print No.






Sample Input 110 3
4 5 6





Sample Output 1Yes

The monster's health will become 0 or below after, for example, using the second and third moves.





Sample Input 220 3
4 5 6





Sample Output 2No






Sample Input 3210 5
31 41 59 26 53





Sample Output 3Yes






Sample Input 4211 5
31 41 59 26 53





Sample Output 4No


",Common Raccoon vs Monster,"Arithmetic, Implementation, Bruteforcing",0.799,416,283
22,"
Score : 200 points


Problem StatementTakahashi has many red balls and blue balls. Now, he will place them in a row.
Initially, there is no ball placed.
Takahashi, who is very patient, will do the following operation 10^{100} times:

Place A blue balls at the end of the row of balls already placed. Then, place B red balls at the end of the row.

How many blue balls will be there among the first N balls in the row of balls made this way?




Constraints
1 \leq N \leq 10^{18}
A, B \geq 0
0 < A + B \leq 10^{18}
All values in input are integers.







InputInput is given from Standard Input in the following format:
N A B





OutputPrint the number of blue balls that will be there among the first N balls in the row of balls.






Sample Input 18 3 4





Sample Output 14

Let b denote a blue ball, and r denote a red ball. The first eight balls in the row will be bbbrrrrb, among which there are four blue balls.





Sample Input 28 0 4





Sample Output 20

He placed only red balls from the beginning.





Sample Input 36 2 4





Sample Output 32

Among bbrrrr, there are two blue balls.

",Count Balls,"Arithmetic, Counting",0.279,904,258
23,"
Score : 200 points


Problem StatementWe have a bingo card with a 3\times3 grid. The square at the i-th row from the top and the j-th column from the left contains the number A_{i, j}.
The MC will choose N numbers, b_1, b_2, \cdots, b_N. If our bingo sheet contains some of those numbers, we will mark them on our sheet.
Determine whether we will have a bingo when the N numbers are chosen, that is, the sheet will contain three marked numbers in a row, column, or diagonal.




Constraints
All values in input are integers.
1 \leq A_{i, j} \leq 100
A_{i_1, j_1} \neq A_{i_2, j_2} ((i_1, j_1) \neq (i_2, j_2))
1 \leq N \leq 10
1 \leq b_i \leq 100
b_i \neq b_j (i \neq j)







InputInput is given from Standard Input in the following format:
A_{1, 1} A_{1, 2} A_{1, 3}
A_{2, 1} A_{2, 2} A_{2, 3}
A_{3, 1} A_{3, 2} A_{3, 3}
N
b_1
\vdots
b_N





OutputIf we will have a bingo, print Yes; otherwise, print No.






Sample Input 184 97 66
79 89 11
61 59 7
7
89
7
87
79
24
84
30





Sample Output 1Yes

We will mark A_{1, 1}, A_{2, 1}, A_{2, 2}, A_{3, 3}, and complete the diagonal from the top-left to the bottom-right.





Sample Input 241 7 46
26 89 2
78 92 8
5
6
45
16
57
17





Sample Output 2No

We will mark nothing.





Sample Input 360 88 34
92 41 43
65 73 48
10
60
43
88
11
48
73
65
41
92
34





Sample Output 3Yes

We will mark all the squares.

",Bingo,"Array, Bruteforcing, Implementation",0.61,496,264
24,"
Score : 200 points


Problem Statement
Takahashi loves palindromes. Non-palindromic strings are unacceptable to him. Each time he hugs a string, he can change one of its characters to any character of his choice.
Given is a string S. Find the minimum number of hugs needed to make S palindromic.




Constraints

S is a string consisting of lowercase English letters.
The length of S is between 1 and 100 (inclusive).







Input
Input is given from Standard Input in the following format:
S





Output
Print the minimum number of hugs needed to make S palindromic.






Sample Input 1redcoder





Sample Output 11

For example, we can change the fourth character to o and get a palindrome redooder.





Sample Input 2vvvvvv





Sample Output 20

We might need no hugs at all.





Sample Input 3abcdabc





Sample Output 32


",Palindrome-philia,"Two-pointer, Bruteforcing, String",0.837,358,239
25,"
Score : 200 points


Problem StatementWe have a string S consisting of uppercase English letters. Additionally, an integer N will be given.
Shift each character of S by N in alphabetical order (see below), and print the resulting string.
We assume that A follows Z. For example, shifting A by 2 results in C (A \to B \to C), and shifting Y by 3 results in B (Y \to Z \to A \to B).




Constraints
0 \leq N \leq 26
1 \leq |S| \leq 10^4
S consists of uppercase English letters.







InputInput is given from Standard Input in the following format:
N
S





OutputPrint the string resulting from shifting each character of S by N in alphabetical order.






Sample Input 12
ABCXYZ





Sample Output 1CDEZAB

Note that A follows Z.





Sample Input 20
ABCXYZ





Sample Output 2ABCXYZ






Sample Input 313
ABCDEFGHIJKLMNOPQRSTUVWXYZ





Sample Output 3NOPQRSTUVWXYZABCDEFGHIJKLM


",ROT N,"Bruteforcing, Arithmetic, String",0.819,318,230
26,"
Score : 200 points


Problem StatementGiven are a positive integer N and a string S of length N consisting of lowercase English letters.
Determine whether the string is a concatenation of two copies of some string.
That is, determine whether there is a string T such that S = T + T.




Constraints
1 \leq N \leq 100
S consists of lowercase English letters.
|S| = N







InputInput is given from Standard Input in the following format:
N
S





OutputIf S is a concatenation of two copies of some string, print Yes; otherwise, print No.






Sample Input 16
abcabc





Sample Output 1Yes

Let T =  abc, and S = T + T.





Sample Input 26
abcadc





Sample Output 2No






Sample Input 31
z





Sample Output 3No


",Echo,"String, Implementation",0.701,421,250
